Date,VIXM,^VIX,SPY
2013-04-10,50625,0,135711100
2013-04-11,13175,0,110142500
2013-04-12,4825,0,116359900
2013-04-15,24425,0,217259000
2013-04-16,18200,0,147507800
2013-04-17,37475,0,226834800
2013-04-18,30300,0,167583200
2013-04-19,9200,0,149687600
2013-04-22,8875,0,106553500
2013-04-23,22625,0,166141300
2013-04-24,20200,0,96781200
2013-04-25,11375,0,131060600
2013-04-26,4300,0,95918800
2013-04-29,22375,0,88572800
2013-04-30,21100,0,116010700
2013-05-01,21025,0,138874200
2013-05-02,18200,0,96407600
2013-05-03,14225,0,144202300
2013-05-06,5300,0,66882100
2013-05-07,5150,0,90359200
2013-05-08,3350,0,97419200
2013-05-09,7775,0,106738600
2013-05-10,5050,0,103203000
2013-05-13,14875,0,81843200
2013-05-14,2375,0,119000900
2013-05-15,11225,0,120718500
2013-05-16,14025,0,109913600
2013-05-17,64500,0,129801000
2013-05-20,23175,0,85071200
2013-05-21,29275,0,95804200
2013-05-22,33425,0,244031800
2013-05-23,34250,0,211064400
2013-05-24,7150,0,151573900
2013-05-28,16025,0,143679800
2013-05-29,59975,0,160363400
2013-05-30,40950,0,107793800
2013-05-31,33525,0,176850100
2013-06-03,35000,0,168390700
2013-06-04,47850,0,157631500
2013-06-05,58625,0,211737800
2013-06-06,52225,0,200225500
2013-06-07,14975,0,188337800
2013-06-10,20675,0,105667100
2013-06-11,42800,0,159505400
2013-06-12,50125,0,177361500
2013-06-13,20725,0,163587800
2013-06-14,25300,0,141197500
2013-06-17,74325,0,136295600
2013-06-18,13650,0,114695600
2013-06-19,14025,0,206149500
2013-06-20,115200,0,321255900
2013-06-21,71775,0,271956800
2013-06-24,48700,0,222329000
2013-06-25,43775,0,162262200
2013-06-26,17950,0,134848000
2013-06-27,29700,0,129483700
2013-06-28,20625,0,160402900
2013-07-01,28675,0,131954800
2013-07-02,20825,0,154863700
2013-07-03,7500,0,75216400
2013-07-05,10100,0,122416900
2013-07-08,26225,0,108092500
2013-07-09,40200,0,119298000
2013-07-10,41000,0,121410100
2013-07-11,28025,0,135592200
2013-07-12,15350,0,104212700
2013-07-15,54700,0,69450600
2013-07-16,22175,0,88702100
2013-07-17,19625,0,92873900
2013-07-18,11800,0,103620100
2013-07-19,14825,0,103831700
2013-07-22,27950,0,79428600
2013-07-23,9900,0,80829700
2013-07-24,11925,0,112914000
2013-07-25,26900,0,111088600
2013-07-26,44300,0,107814600
2013-07-29,22575,0,79695000
2013-07-30,14700,0,85209600
2013-07-31,38950,0,142388700
2013-08-01,34200,0,110438400
2013-08-02,10875,0,91116700
2013-08-05,8325,0,54072700
2013-08-06,50750,0,87495000
2013-08-07,20375,0,84854700
2013-08-08,19150,0,102181300
2013-08-09,59425,0,91757700
2013-08-12,20900,0,68593300
2013-08-13,16950,0,80806000
2013-08-14,18775,0,79829200
2013-08-15,159150,0,152931800
2013-08-16,41225,0,130868200
2013-08-19,65000,0,96437600
2013-08-20,40025,0,89294400
2013-08-21,39100,0,159530500
2013-08-22,9125,0,101471400
2013-08-23,6850,0,90888900
