Date,VIXM,^VIX,SPY,VIXY,GBPUSD=X,BRLUSD=X,DX-Y.NYB,USDJPY=X,^TNX,ZF=F,NQ=F,NKD=F,LQD,AAPL,AMZN,MU,MSFT,BMY,PLD,FXI,FEZ,^FTSE,^FCHI,^GSPC,GLD,SLV,ES=F,QM=F,BIO=F,AGG
2023-08-16,20.530000686645508,16.780000686645508,430.7996826171875,100.91999816894531,1.2701315879821777,0.20067426562309265,103.41999816894531,145.60800170898438,4.257999897003174,105.8515625,14942.25,31705.0,97.72467803955078,175.47802734375,135.07000732421875,63.75495910644531,317.3777160644531,56.78790283203125,116.4380111694336,25.51715087890625,42.867835998535156,7356.89990234375,7260.25,4404.330078125,175.57000732421875,20.559999465942383,4420.0,79.37999725341797,4059.5,90.75006866455078
2023-08-17,20.790000915527344,17.889999389648438,427.5169982910156,105.80000305175781,1.2728151082992554,0.20052538812160492,103.44000244140625,146.33299255371094,4.308000087738037,105.7578125,14778.0,31395.0,97.46155548095703,172.92388916015625,133.97999572753906,63.09973907470703,313.89093017578125,57.924964904785156,114.86128997802734,25.708648681640625,42.384220123291016,7310.2001953125,7191.740234375,4370.35986328125,175.3000030517578,20.799999237060547,4384.5,80.38999938964844,4041.0,90.65505981445312
2023-08-18,20.600000381469727,17.299999237060547,427.7227783203125,103.12000274658203,1.275022268295288,0.20098482072353363,103.37999725341797,145.71400451660156,4.250999927520752,105.953125,14744.0,31475.0,97.82804870605469,173.410888671875,133.22000122070312,63.12952423095703,313.4946594238281,57.84108352661133,116.07489013671875,25.076704025268555,42.44225311279297,7262.39990234375,7164.10986328125,4369.7099609375,175.3300018310547,20.8700008392334,4382.75,81.25,4040.5,90.85460662841797
2023-08-21,20.43000030517578,17.1299991607666,430.5057067871094,100.44000244140625,1.2741937637329102,0.20133282244205475,103.33000183105469,145.30499267578125,4.3420000076293945,105.6171875,14985.75,31810.0,97.24539947509766,174.7525177001953,134.67999267578125,63.4968376159668,318.84375,57.70127868652344,114.80396270751953,25.03840446472168,42.76144027709961,7257.7998046875,7198.06005859375,4399.77001953125,175.80999755859375,21.360000610351562,4412.5,80.72000122070312,4040.5,90.39851379394531
2023-08-22,20.579999923706055,16.969999313354492,429.339599609375,100.83999633789062,1.2760798931121826,0.20085564255714417,103.55999755859375,146.23800659179688,4.328000068664551,105.5234375,14958.5,31765.0,97.54612731933594,176.1339111328125,134.25,62.950828552246094,319.4182434082031,57.6546745300293,115.6448745727539,25.02882957458496,42.68406295776367,7270.7998046875,7240.8798828125,4387.5498046875,176.10000610351562,21.459999084472656,4399.25,79.63999938964844,4104.0,90.49353790283203
2023-08-23,20.34000015258789,15.979999542236328,434.1214904785156,97.4800033569336,1.2731555700302124,0.2025480568408966,103.36000061035156,145.76300048828125,4.197999954223633,106.0,15195.5,32005.0,98.91817474365234,179.9998779296875,135.52000427246094,64.71794128417969,323.9154357910156,57.37507247924805,117.60382080078125,25.565027236938477,42.925872802734375,7320.5,7246.6201171875,4436.009765625,177.88999938964844,22.290000915527344,4447.0,78.88999938964844,4121.0,91.3581771850586
2023-08-24,20.649999618530273,17.200000762939453,428.10498046875,101.19999694824219,1.2720541954040527,0.205968976020813,103.9800033569336,144.67300415039062,4.235000133514404,105.78125,14862.0,31700.0,98.57984924316406,175.28919982910156,131.83999633789062,63.22880172729492,316.9517517089844,57.114097595214844,116.3328857421875,25.67992401123047,42.171424865722656,7333.60009765625,7214.4599609375,4376.31005859375,177.85000610351562,22.110000610351562,4386.0,79.05000305175781,4079.5,91.1491470336914
2023-08-25,20.110000610351562,15.680000305175781,431.1229553222656,96.80000305175781,1.2592872381210327,0.2049054354429245,104.08000183105469,146.06700134277344,4.238999843597412,105.65625,14979.25,31860.0,98.63623046875,177.50540161132812,133.25999450683594,63.258583068847656,319.9333801269531,57.85972213745117,117.2120361328125,25.632049560546875,42.53897476196289,7338.60009765625,7229.60009765625,4405.7099609375,177.6199951171875,22.219999313354492,4414.25,79.83000183105469,4079.5,91.09213256835938
2023-08-28,19.780000686645508,15.079999923706055,433.85693359375,93.12000274658203,1.2589701414108276,0.20532195270061493,104.05999755859375,146.531005859375,4.211999893188477,105.7578125,15092.5,32290.0,98.94635009765625,179.0756378173828,133.13999938964844,64.83706665039062,320.6465759277344,57.44963455200195,118.49250793457031,26.244844436645508,43.04193878173828,7338.60009765625,7324.7099609375,4433.31005859375,178.1300048828125,22.219999313354492,4442.25,80.0999984741211,4119.5,91.29167175292969
2023-08-29,19.489999771118164,14.449999809265137,440.12823486328125,90.68000030517578,1.2611136436462402,0.2052292376756668,103.55000305175781,146.46400451660156,4.122000217437744,106.25,15415.75,32425.0,99.73573303222656,182.98130798339844,134.91000366210938,66.19715881347656,325.3121032714844,58.57737350463867,119.54366302490234,26.76188850402832,43.6706428527832,7465.0,7373.43017578125,4497.6298828125,179.8699951171875,22.709999084472656,4506.75,81.16000366210938,4152.5,91.88077545166016
2023-08-30,19.31999969482422,13.880000114440918,441.9410400390625,87.5999984741211,1.2636793851852417,0.20613032579421997,103.16000366210938,145.98800659179688,4.118000030517578,106.2890625,15501.25,32395.0,99.59480285644531,186.489501953125,135.07000732421875,67.59693145751953,325.6885681152344,58.13932800292969,120.11700439453125,26.579965591430664,43.660972595214844,7473.7001953125,7364.39990234375,4514.8701171875,180.32000732421875,22.56999969482422,4524.25,81.62999725341797,4159.0,91.84276580810547
2023-08-31,19.09000015258789,13.569999694824219,441.2942810058594,86.08000183105469,1.271179437637329,0.20456591248512268,103.62000274658203,146.0989990234375,4.0929999351501465,106.40625,15538.5,32500.0,99.76393127441406,186.7081298828125,138.00999450683594,69.43354797363281,324.6683044433594,57.45895767211914,118.68363189697266,26.235267639160156,43.11932373046875,7439.10009765625,7316.7001953125,4507.66015625,180.02000427246094,22.389999389648438,4516.0,83.62999725341797,4122.0,91.97579956054688
2023-09-01,19.049999237060547,13.09000015258789,442.117431640625,84.87999725341797,1.2672826051712036,0.20186522603034973,104.23999786376953,145.47300720214844,4.172999858856201,106.25,15516.25,32760.0,99.05377960205078,188.28831481933594,138.1199951171875,69.88027954101562,325.5597839355469,57.80379867553711,119.05631256103516,26.848064422607422,42.8098030090332,7464.5,7296.77001953125,4515.77001953125,180.11000061035156,22.170000076293945,4521.5,85.55000305175781,4158.5,91.49942016601562
2023-09-04,19.049999237060547,13.09000015258789,442.117431640625,84.87999725341797,1.2591445446014404,0.20095252990722656,104.23999786376953,146.0570068359375,4.172999858856201,106.25,15516.25,32760.0,99.05377960205078,188.28831481933594,138.1199951171875,69.88027954101562,325.5597839355469,57.80379867553711,119.05631256103516,26.848064422607422,42.8098030090332,7452.7998046875,7279.509765625,4515.77001953125,180.11000061035156,22.170000076293945,4521.5,85.55000305175781,4158.5,91.49942016601562
2023-09-05,18.940000534057617,14.010000228881836,440.2066345214844,85.76000213623047,1.2623074054718018,0.20258498191833496,104.80999755859375,146.54299926757812,4.26800012588501,105.8671875,15534.5,33110.0,98.3464584350586,188.5268096923828,137.27000427246094,69.781005859375,330.4036560058594,56.51761245727539,116.6291275024414,26.455490112304688,42.3261833190918,7437.89990234375,7254.72021484375,4496.830078125,178.63999938964844,21.59000015258789,4502.5,86.69000244140625,4101.0,91.0040054321289
2023-09-06,19.18000030517578,14.449999809265137,437.2473449707031,87.12000274658203,1.2570552825927734,0.2013409286737442,104.86000061035156,147.4709930419922,4.289999961853027,105.6015625,15399.5,33120.0,98.25215148925781,181.77880859375,135.36000061035156,69.90013122558594,329.7399597167969,55.613555908203125,115.98888397216797,26.532089233398438,42.12306594848633,7426.10009765625,7194.08984375,4465.47998046875,177.8300018310547,21.239999771118164,4471.5,87.54000091552734,4077.5,90.91825866699219
2023-09-07,18.959999084472656,14.399999618530273,435.9049072265625,86.95999908447266,1.2498750686645508,0.20092424750328064,105.05999755859375,147.70899963378906,4.260000228881836,105.8671875,15282.25,32895.0,98.68596649169922,176.46188354492188,137.85000610351562,69.36404418945312,326.7980041503906,55.893165588378906,117.83316802978516,25.775671005249023,41.81354904174805,7441.7001953125,7196.10009765625,4451.14013671875,178.02000427246094,21.049999237060547,4456.25,86.87000274658203,4070.0,91.20408630371094
